County,state_mills
Beaverhead,77.89
Big Horn,77.89
Blaine,77.89
Broadwater,95
Carbon,77.89
Carter,77.89
Cascade,77.89
Chouteau,77.89
Custer,77.89
Daniels,77.89
Dawson,77.89
Deer Lodge,95
Fallon,77.89
Fergus,77.89
Flathead,77.89
Gallatin,77.89
Garfield,77.89
Glacier,95
Golden Valley,77.89
Granite,77.89
Hill,77.89
Jefferson,77.89
Judith Basin,77.89
Lake,77.89
Lewis and Clark,77.89
Liberty,77.89
Lincoln,77.89
McCone,77.89
Madison,95
Meagher,95
Mineral,77.89
Missoula,77.89
Musselshell,77.89
Park,77.89
Petroleum,77.89
Phillips,77.89
Pondera,77.89
Powder River,77.89
Powell,77.89
Prairie,77.89
Ravalli,77.89
Richland,77.89
Roosevelt,77.89
Rosebud,77.89
Sanders,77.89
Sheridan,77.89
Silver Bow,77.89
Stillwater,77.89
Sweet Grass,77.89
Teton,95
Toole,95
Treasure,77.89
Valley,77.89
Wheatland,77.89
Wibaux,77.89
Yellowstone,77.89